time_s,breath,phase,pressure_cm_h2o,flow_l_min,volume_ml,co2_kpa
0.0,0,inspiration,6.0,0.0,210.00000000000003,0.0
0.01,0,inspiration,7.16087426943088,5.804371347154447,210.96739522452577,0.0
0.02,0,inspiration,8.246880257226945,11.096201968345266,212.81676221924997,0.0
0.03,0,inspiration,9.262846444596327,15.911837620231628,215.46873515595524,0.0
0.04,0,inspiration,10.213289909436323,20.285201667759488,218.84960210058182,0.0
0.05,0,inspiration,11.102436409671792,24.247953176847194,222.89092763005635,0.0
0.060000000000000005,0,inspiration,11.934239171358492,27.829634766784462,227.5292000911871,0.0
0.07,0,inspiration,12.712396465084991,31.057810883826807,232.70550190515823,0.0
0.08,0,inspiration,13.440368048819426,33.95819711478887,238.36520142428972,0.0
0.09,0,inspiration,14.121390550307526,36.55478111949628,244.45766494420576,0.0
0.09999999999999999,0,inspiration,14.758491857413343,38.869935723608805,250.93598756480722,0.0
0.10999999999999999,0,inspiration,15.35450458038361,40.92452467837426,257.7567416778696,0.0
0.11999999999999998,0,inspiration,15.912078645890013,42.738001561183125,264.8797419380668,0.0
0.12999999999999998,0,inspiration,16.433693078843724,44.32850226020912,272.2678256481016,0.0
0.13999999999999999,0,inspiration,16.92166702436523,45.71293145781152,279.8866475577369,0.0
0.15,0,inspiration,17.378170058914037,46.90704350060793,287.70448814117157,0.0
0.16,0,inspiration,17.80523183642258,47.92551801908851,295.69207447768633,0.0
0.17,0,inspiration,18.204751112321834,48.78203063622533,303.8224129170572,0.0
0.18000000000000002,0,inspiration,18.578504185580364,49.489319082608006,312.0706327641585,0.0
0.19000000000000003,0,inspiration,18.92815279629075,50.05924501514525,320.4138402666827,0.0
0.20000000000000004,0,inspiration,19.255251513916917,50.50285181720149,328.8309822362163,0.0
0.21000000000000005,0,inspiration,19.561254649051087,50.83041864008153,337.3027186762299,0.0
0.22000000000000006,0,inspiration,19.84752271941067,51.05151092902061,345.81130383106665,0.0
0.23000000000000007,0,inspiration,20.115328498823587,51.17502766110826,354.34047510791805,0.0
0.24000000000000007,0,inspiration,20.365862676096206,51.209245507921274,362.87534935923827,0.0
0.25000000000000006,0,inspiration,20.60023914892389,51.16186012187129,371.4023260462168,0.0
0.26000000000000006,0,inspiration,20.81949997638126,51.04002473244673,379.9089968349579,0.0
0.2700000000000001,0,inspiration,21.024620012011443,50.85038622649185,388.3840612060399,0.0
0.2800000000000001,0,inspiration,21.216511238113416,50.599118875418455,396.8172476852763,0.0
0.2900000000000001,0,inspiration,21.39602682049809,50.291955861736625,405.19924032889907,0.0
0.3000000000000001,0,inspiration,21.563964901740974,49.93421874743342,413.521610120138,0.0
0.3100000000000001,0,inspiration,21.7210721497965,49.530845017534354,421.7767509563937,0.0
0.3200000000000001,0,inspiration,21.868047077751534,49.086413823558715,429.9578199269868,0.0
0.3300000000000001,0,inspiration,22.00554314947799,48.6051700435346,438.05868160090927,0.0
0.34000000000000014,0,inspiration,22.134171684992502,48.091046767689825,446.0738560621909,0.0
0.35000000000000014,0,inspiration,22.25450457844071,47.54768631189066,453.998470447506,0.0
0.36000000000000015,0,inspiration,22.367076840790578,46.97845985430904,461.82821375655755,0.0
0.37000000000000016,0,inspiration,22.472388978539687,46.38648578461879,469.55929472066066,0.0
0.38000000000000017,0,inspiration,22.570909219012595,45.774646849254474,477.18840252886974,0.0
0.3900000000000002,0,inspiration,22.663075592141993,45.14560617087149,484.71267022401497,0.0
0.4000000000000002,0,inspiration,22.749297877989573,44.50182221508858,492.1296405931964,0.0
0.4100000000000002,0,inspiration,22.829959428665383,43.84556277287044,499.4372343886748,0.0
0.4200000000000002,0,inspiration,22.90541887274608,43.178918022490855,506.63372072575663,0.0
0.4300000000000002,0,inspiration,22.976011709770173,42.503812730885656,513.7176895142376,0.0
0.4400000000000002,0,inspiration,23.042051801899415,41.82201765032034,520.6880257892909,0.0
0.45000000000000023,0,inspiration,23.10383276937845,41.13516016270813,527.543885816409,0.0
0.46000000000000024,0,inspiration,23.1616292959971,40.444734220498766,534.2846748531588,0.0
0.47000000000000025,0,inspiration,23.21569835035941,39.75210962991738,540.910026458145,0.0
0.48000000000000026,0,inspiration,23.26628032838941,39.05854071935511,547.4197832447041,0.0
0.49000000000000027,0,inspiration,23.313600122153186,38.36517443295095,553.8139789835294,0.0
0.5000000000000002,0,inspiration,23.357868119749458,37.673057886814746,560.0928219646652,0.0
0.5100000000000002,0,inspiration,23.399281140714134,36.98314542290393,566.2566795351491,0.0
0.5200000000000002,0,inspiration,23.438023311097844,36.29630519332538,572.3060637340367,0.0
0.5300000000000002,0,inspiration,23.474266882107095,35.61332530567296,578.2416179516489,0.0
0.5400000000000003,0,inspiration,23.508172995948733,34.93491955807926,584.0641045446621,0.0
0.5500000000000003,0,inspiration,23.539892402282867,34.26173279074818,589.7743933431201,0.0
